,id,object_name,chain,object_type,address,number,coordinates,street
14770,213693,induke,нет,предприятие быстрого обслуживания,"город Москва, Пресненская набережная, дом 12",4,"37.537083,55.749511",Пресненская набережная
14771,208286,кафе «plaza garden»,нет,кафе,"город Москва, Краснопресненская набережная, дом 12",53,"37.556388,55.754203",Краснопресненская набережная
14772,208985,кофе,нет,кафе,"город Москва, Краснопресненская набережная, дом 12",80,"37.556388,55.754203",Краснопресненская набережная
14773,207798,чихо,нет,кафе,"город Москва, улица Покровка, дом 3/7, строение 1А",36,"37.640434,55.758742",улица Покровка
14774,215858,staff only,нет,кафе,"город Москва, улица Большая Дмитровка, дом 13",80,"37.613063,55.762166",улица Большая Дмитровка
14775,209519,семь летучих рыб,нет,кафе,"город Москва, Цветной бульвар, дом 30, строение 1",98,"37.62289,55.772213",Цветной бульвар
14776,209567,шантри,нет,ресторан,"город Москва, Цветной бульвар, дом 30, строение 1",250,"37.62289,55.772213",Цветной бульвар
14777,222871,touch of matcha,нет,ресторан,"город Москва, Пресненская набережная, дом 10, строение 2",40,"37.534954,55.74751",Пресненская набережная
14778,222486,кафе «мпл»,нет,кафе,"город Москва, Пресненская набережная, дом 10, строение 2",35,"37.534954,55.74751",Пресненская набережная
14779,210181,бар «праймбифбар»,нет,бар,"город Москва, Пресненская набережная, дом 10, строение 2",40,"37.534954,55.74751",Пресненская набережная
14780,222812,кафе,нет,кафе,"город Москва, 1-й Красногвардейский проезд, дом 21, строение 2",0,"37.534092,55.74938",1-й Красногвардейский проезд
14781,211009,хмель и солод,нет,бар,"город Москва, Большая Серпуховская улица, дом 50/2, строение 1",25,"37.626978,55.721569",Большая Серпуховская улица
14782,206350,хинкальный дом тбилисо,нет,кафе,"город Москва, Новослободская улица, дом 54, строение 1",60,"37.59339,55.787973",Новослободская улица
14783,222126,pita&meat,нет,кафе,"город Москва, Пресненская набережная, дом 4, строение 1",3,"37.54294,55.748924",Пресненская набережная
14784,222095,sushi fix,нет,кафе,"город Москва, Пресненская набережная, дом 4, строение 1",4,"37.54294,55.748924",Пресненская набережная
14785,208359,sanders grill,нет,ресторан,"город Москва, Пресненская набережная, дом 2",48,"37.539644,55.749299",Пресненская набережная
14786,208376,кафе «cinnabon»,нет,кафетерий,"город Москва, Пресненская набережная, дом 2",20,"37.539644,55.749299",Пресненская набережная
14787,208378,onepricecoffee,нет,кафе,"город Москва, Пресненская набережная, дом 2",0,"37.539644,55.749299",Пресненская набережная
14788,125869,кафе «abc coffee roasters»,нет,кафе,"город Москва, Большая Никитская улица, дом 19/16, строение 1",20,"37.600891,55.756928",Большая Никитская улица
14789,213389,папа бык,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",52,no coordinates,no street
14790,213391,фо бо,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",0,no coordinates,no street
14791,213392,желатессимо,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",16,no coordinates,no street
14792,213395,doubl b,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",0,no coordinates,no street
14793,212923,далбли,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",20,no coordinates,no street
14794,207728,столовая№ 1 пицца,нет,столовая,"город Москва, поселение Сосенское, посёлок Газопровод, дом 101, корпус 1",35,no coordinates,no street
14795,221526,pivbar,нет,бар,"город Москва, город Московский, 1-й микрорайон, владение 5Д, строение 1",10,no coordinates,no street
14796,218911,pizza express,нет,кафе,"город Москва, город Московский, Радужная улица, дом 14, корпус 5, строение 1",35,no coordinates,no street
14797,221576,кафе,нет,кафе,"город Москва, город Троицк, Октябрьский проспект, дом 14",12,no coordinates,no street
