,Unnamed: 0,id,object_name,chain,object_type,address,number,coordinates,street,address_list,region
9609,9609,164452,чё хотэли пили ели,нет,ресторан,"город Москва, поселение Сосенское, ж/к ""Дубровка"", Сосновая улица, дом 15",128,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' ж/к ""Дубровка""', ' Сосновая улица', ' дом 15']",no_region
9661,9661,168553,гастрономическая бургерная янхук,нет,кафе,"город Москва, город Зеленоград, корпус 426А, строение 2",30,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 426А', ' строение 2']",no_region
9981,9981,171032,буханка,нет,закусочная,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 8, корпус 2",4,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' улица Липовый Парк', ' дом 8', ' корпус 2']",no_region
10105,10105,172418,шаурум,нет,кафе,"город Москва, город Зеленоград, корпус 317А, строение 1",12,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 317А', ' строение 1']",no_region
10530,10530,23887,факультет педагогики мгпу,нет,столовая,"город Москва, город Зеленоград, корпус 425",60,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 425']",no_region
10531,10531,23886,школа 618,нет,столовая,"город Москва, город Зеленоград, корпус 429",160,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 429']",no_region
10532,10532,186345,шаурма live,нет,предприятие быстрого обслуживания,"город Москва, город Зеленоград, корпус 607",4,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 607']",no_region
10533,10533,190332,зефир,нет,кафе,"город Москва, город Зеленоград, корпус 618",35,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 618']",no_region
10534,10534,174640,кафе «ангел»,нет,кафе,"город Москва, город Зеленоград, корпус 1204",20,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 1204']",no_region
10542,10542,188447,кафе «кулинария здоровья»,нет,кафе,"город Москва, город Зеленоград, корпус 1519",8,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 1519']",no_region
10629,10629,28184,крюково-цсо взрослое отделение,нет,столовая,"город Москва, город Зеленоград, корпус 2014",45,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 2014']",no_region
10636,10636,182454,пекарня,нет,кафетерий,"город Москва, поселение Сосенское, посёлок Коммунарка, Ясная улица, дом 5",0,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' Ясная улица', ' дом 5']",no_region
10640,10640,186461,кафе,нет,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, дом 20А",12,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' дом 20А']",no_region
10646,10646,144982,гудсон бар,нет,бар,"город Москва, город Зеленоград, корпус 315",30,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 315']",no_region
10648,10648,178413,кафе микс,нет,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 5, корпус 2",11,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' улица Липовый Парк', ' дом 5', ' корпус 2']",no_region
10649,10649,183276,пиццерия,нет,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 4, корпус 1",12,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' улица Липовый Парк', ' дом 4', ' корпус 1']",no_region
10650,10650,183381,кафе,нет,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 4, корпус 3",12,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' улица Липовый Парк', ' дом 4', ' корпус 3']",no_region
10655,10655,182019,кулинария три сестры,нет,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, дом 5, корпус 2",10,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' улица Александры Монаховой', ' дом 5', ' корпус 2']",no_region
10656,10656,182025,австрийская пекарня и паб,нет,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, дом 5, корпус 3",16,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' улица Александры Монаховой', ' дом 5', ' корпус 3']",no_region
10662,10662,189639,бар липа,нет,бар,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 8, корпус 2",20,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' улица Липовый Парк', ' дом 8', ' корпус 2']",no_region
10664,10664,29467,столовая в школе 1912 корп. 1816,нет,столовая,"город Москва, город Зеленоград, корпус 1816",180,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 1816']",no_region
10708,10708,176199,мармелад,нет,бар,"город Москва, город Зеленоград, площадь Юности, дом 2, строение 1",28,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' площадь Юности', ' дом 2', ' строение 1']",no_region
10709,10709,29479,гбоу г. москвы школа №1557,нет,столовая,"город Москва, город Зеленоград, корпус 507",100,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 507']",no_region
10710,10710,23840,негосударственная школа «глобус»,нет,столовая,"город Москва, город Зеленоград, корпус 430А",40,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 430А']",no_region
10711,10711,29475,гбоу г.москвы школа № 609,нет,столовая,"город Москва, город Зеленоград, корпус 341А",100,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 341А']",no_region
10716,10716,29480,гбоу г.москвы школа № 609,нет,столовая,"город Москва, город Зеленоград, корпус 314",180,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 314']",no_region
